Epoch,Loss,Accuracy
0,1.7753113508224487,15.298507462686567
1,1.7506942749023438,8.582089552238806
2,1.7253334522247314,2.9850746268656714
3,1.7079919576644897,1.1194029850746268
4,1.6868315935134888,0.0
5,1.6691087484359741,0.0
6,1.6570982933044434,0.0
7,1.6478599309921265,3.3582089552238807
8,1.6360280513763428,16.417910447761194
9,1.6276733875274658,19.776119402985074
10,1.621721863746643,12.686567164179104
11,1.6118611097335815,14.55223880597015
12,1.6125524044036865,16.417910447761194
13,1.6042836904525757,23.88059701492537
14,1.6026111841201782,40.298507462686565
15,1.5978484153747559,39.55223880597015
16,1.5930081605911255,29.47761194029851
17,1.592313528060913,25.74626865671642
18,1.5861537456512451,22.01492537313433
19,1.5858410596847534,22.01492537313433
20,1.5827157497406006,21.641791044776117
21,1.5787899494171143,21.641791044776117
22,1.5741556882858276,21.641791044776117
23,1.5705617666244507,21.641791044776117
24,1.566939115524292,21.641791044776117
25,1.5622334480285645,21.641791044776117
26,1.5602960586547852,21.641791044776117
27,1.5561611652374268,21.641791044776117
28,1.5526751279830933,21.641791044776117
29,1.5469474792480469,22.01492537313433
30,1.54524827003479,22.01492537313433
31,1.5401532649993896,23.88059701492537
32,1.5365697145462036,28.73134328358209
33,1.5334655046463013,32.83582089552239
34,1.530898928642273,37.3134328358209
35,1.524081826210022,39.17910447761194
36,1.5232363939285278,40.298507462686565
37,1.51992928981781,44.776119402985074
38,1.5151116847991943,47.01492537313433
39,1.5134357213974,52.23880597014925
40,1.5085073709487915,54.1044776119403
41,1.5044097900390625,53.35820895522389
42,1.5042335987091064,54.850746268656714
43,1.4988995790481567,53.35820895522389
44,1.4941816329956055,58.582089552238806
45,1.4896507263183594,57.46268656716418
46,1.481662631034851,58.2089552238806
47,1.4778273105621338,55.970149253731336
48,1.476317048072815,59.70149253731343
49,1.46727454662323,59.32835820895522
50,1.470372200012207,58.582089552238806
51,1.467482089996338,57.83582089552238
52,1.4660651683807373,57.08955223880597
53,1.4562721252441406,56.71641791044776
54,1.455310583114624,56.71641791044776
55,1.4580252170562744,56.343283582089555
56,1.4508874416351318,55.970149253731336
57,1.447914719581604,57.08955223880597
58,1.4405567646026611,54.1044776119403
59,1.4377235174179077,57.08955223880597
60,1.438774585723877,57.08955223880597
61,1.4274572134017944,57.46268656716418
62,1.4297155141830444,58.582089552238806
63,1.4253491163253784,58.95522388059702
64,1.4252283573150635,55.970149253731336
